user_hash,prediction,actual
dbf485f686e509c6,0.9992102465595687,1.0
e16e6ea6070e8760,0.22395129190722546,0.0
697465ec2998c75e,0.045802708456535154,0.0
cf104454addcb807,0.0876815696355092,0.0
dbf070e9dc680612,0.16836578961161947,0.0
ae3a76e0cc50cdfb,0.35786226725610615,1.0
d35caeed78e0057c,0.4562162673420465,1.0
44158f5cb4cb6b6c,0.47311172830025544,1.0
18b4ac264f24a519,0.24227669064817028,1.0
5f85b23171ddbdca,0.923538299449499,1.0
0123f30b98120363,0.12629099258028945,0.0
60218647acbfd74a,0.20675870531000534,1.0
9c25d6f0a3b157fe,0.3937375400661826,0.0
d26a4674fa4cbb0f,0.5044219970058917,0.0
dabd34d346a71cd0,0.997786462219941,1.0
8b73c9a97a8399bf,0.27278908358123105,1.0
c72355f9211db30e,0.9977380096531872,1.0
e40efee98200f73b,0.26451712563162383,0.0
eda1abb59db5fa2e,0.189375175969132,0.0
39459f99d75f45c0,0.15014262912034465,0.0
e0024c5a25dbfbdb,0.042526610491219266,0.0
c90a3216b520d61c,0.11828581312875852,0.0
9e8eda35479c91ee,0.7185871360242524,1.0
c209fe4fc843dd98,0.15034854727543617,0.0
9080fa84da225989,0.137231429703182,0.0
14e77014d7963a74,0.09978409272877742,0.0
63d39cc070ef321d,0.029992418732457164,0.0
9dc5d48b4c888c39,0.05456519806108477,0.0
87308ffbfabf01fa,0.9950048966578928,1.0
d3db65a01c38c191,0.9996253335113956,1.0
519763659f447078,0.12096408691409241,0.0
7ef435c4f7fda506,0.10676135910788442,0.0
ef93d010ddc27d1e,0.20902237846611282,0.0
476c78227d134e65,0.40103033088041184,0.0
8395609e3e0fa942,0.9465542139785212,1.0
2a2360374b88d1d5,0.8960079318959544,1.0
78f18d04ad806215,0.03896054608806714,0.0
6f7879d2069d6051,0.3107687627802525,1.0
3a3346856008297a,0.07217944186316429,0.0
39675b1fb5c92aa3,0.6206373581565044,0.0
be0258a49fe1068e,0.7292333621002136,1.0
6d8bfa0f94012f52,0.05820550413361214,0.0
b0c0fa7a43bb7ccb,0.014750327238137316,0.0
d7bbe20709b0977b,0.27407626997561785,0.0
60d25d03bb224c28,0.15222002050892922,0.0
7084b944898086fc,0.30043517983067897,0.0
09318f38122b8994,0.07941741572333337,0.0
e8f09f9a43a85db0,0.35140412236048196,0.0
05fcb5100672ab16,0.09953819688188636,0.0
839642286e80b407,0.9924685281882242,1.0
76fc1b721bd7263c,0.14050174857451492,0.0
53c238fb84b18660,0.17989686516180253,0.0
6f856217e212f8a0,0.23569262204147035,0.0
2375b1e3892ade42,0.973145603596427,1.0
98285b21ddc588ad,0.937275070187547,1.0
4271133aa48cbd2b,0.2203853162288318,0.0
b29e1c19dd983272,0.03172262617902466,0.0
98c411b638783542,0.4225177889562616,1.0
3a536a60c4901b44,0.621477487366036,0.0
7b7b99c7896cef29,0.13306953359983587,0.0
7afed37ee780f711,0.2374496672846277,0.0
e0fab502e237210e,0.022165042109902767,0.0
d0389838fd387395,0.05938449225666004,0.0
e7533ce1cb4ce33a,0.1990336685259002,0.0
78c28eff8c26b327,0.9640720880574261,1.0
87091ef0db853018,0.516426936469495,0.0
3811afc78ea3fd2e,0.18890663009354874,1.0
b9c915b37af01f78,0.15763399847398182,1.0
d130495dd5a1ff8d,0.40480031215021206,0.0
fabd06c3e7b5d24b,0.03541682108793323,0.0
e3c78299cbbcad58,0.9989101974084879,1.0
d0b5a48b37668060,0.1798389779705846,0.0
586f16dc8b23ac2f,0.07378889493428939,0.0
33039f333f6fc6db,0.16036192417916192,0.0
be8b1bdb3eface48,0.11441032925921817,0.0
5b54774276d66a36,0.11819752325489796,0.0
e6c4fb499f6ddb8f,0.999116321341004,1.0
6f40155c95cb19b1,0.04787125683340972,0.0
ec8b351e043991f8,0.2427155794071144,0.0
4a452416ce741571,0.3910413002357953,1.0
edd5a276d9d3991d,0.11303570332687748,0.0
95b38160c929aad8,0.16655913343210182,0.0
fb31694b35f5076c,0.17410262587519398,0.0
7ff961b07c02f23a,0.38362854311591676,1.0
36661292f8da52fd,0.2388896427477901,0.0
c3ccbdf178d365b7,0.14043511737170744,0.0
e3a58d24baebf728,0.4441713043033221,0.0
