user_hash,is_cheating,pred_lgb,pred_xgb,pred_cat,pred_prob_blend,pred_rank_blend
dbf485f686e509c6,1,0.9995219406442647,0.9993128776550293,0.9992951184944511,0.9993766455979151,0.9940099971082744
e16e6ea6070e8760,0,0.2929428803659025,0.2457132190465927,0.20918764492105157,0.24928124811118224,0.5857426128215569
697465ec2998c75e,0,0.04481106576156779,0.05397631227970123,0.04865071836575252,0.049146032135673846,0.10391622258024537
cf104454addcb807,0,0.10911420616290315,0.08596017211675644,0.09139792690431045,0.09549076839465669,0.2780748189720801
dbf070e9dc680612,0,0.19910541360248957,0.13871662318706512,0.13230669762737884,0.15670957813897785,0.4350925647244894
ae3a76e0cc50cdfb,1,0.3671197271207664,0.31009581685066223,0.3588668705847192,0.34536080485204934,0.6884460811217535
d35caeed78e0057c,1,0.5801266762746643,0.6307984590530396,0.4824748620505089,0.5644666657927375,0.8218756085901954
44158f5cb4cb6b6c,1,0.47139064837626815,0.45761603116989136,0.5024134827205877,0.47714005408891574,0.7840117085376721
18b4ac264f24a519,1,0.2489856651424365,0.31003251671791077,0.28438087666294126,0.2811330195077628,0.6250435234200261
5f85b23171ddbdca,1,0.9719031514495196,0.953656017780304,0.9285308084291133,0.9513633258863123,0.9281760293657678
0123f30b98120363,0,0.15197857483250934,0.15082786977291107,0.13581600585063522,0.14620748348535187,0.41774516226121133
60218647acbfd74a,1,0.10618577825687765,0.16790293157100677,0.1445613248040654,0.13955001154398328,0.3969247384168688
9c25d6f0a3b157fe,0,0.36326005123724325,0.3466784656047821,0.40995773302481514,0.3732987499556135,0.7122733093733218
d26a4674fa4cbb0f,0,0.5001223532927626,0.6137316823005676,0.5958710789916377,0.5699083715283226,0.8253191225678522
dabd34d346a71cd0,1,0.9980431150812104,0.9967619180679321,0.997301563608473,0.9973688655858718,0.9591883103470661
8b73c9a97a8399bf,1,0.2669296829970224,0.27329468727111816,0.2618241703703566,0.2673495135461657,0.6104904720594396
c72355f9211db30e,1,0.9985681551175227,0.9977737069129944,0.9981034733312325,0.9981484451205832,0.9636291745598972
e40efee98200f73b,0,0.34762934100581167,0.36365553736686707,0.33921581376253324,0.350166897378404,0.6930492360533259
eda1abb59db5fa2e,0,0.15772672446888916,0.12558642029762268,0.1445470775222854,0.14262007409626573,0.40879556680771206
39459f99d75f45c0,0,0.20725588384713386,0.17783015966415405,0.17153999537830578,0.18554201296319792,0.4957420816882956
e0024c5a25dbfbdb,0,0.040309589745780736,0.03308139368891716,0.040846692162807924,0.038079225199168606,0.06082951212459206
c90a3216b520d61c,0,0.1508822900884829,0.1159539520740509,0.12396065664024376,0.13026563293425916,0.3780134435729925
9e8eda35479c91ee,1,0.8441823770413124,0.839590847492218,0.7927376352805479,0.8255036199380261,0.8921710957279182
c209fe4fc843dd98,0,0.22882828950665585,0.17539523541927338,0.15935234076153557,0.1878586218958216,0.496105022750208
